,age,gender,education,country,ethnicity,nscore,escore,oscore,ascore,cscore,impuslive,ss,choc
0,1.82213,-0.48246,1.16365,0.96082,-0.31685,-0.58016,1.74091,-1.97495,-1.07533,1.63088,0.88113,0.40148,user
1,-0.95197,-0.48246,-0.61113,-0.57009,0.1144,1.49158,0.00332,0.29338,0.76096,-0.14277,-0.21712,0.7654,user
2,0.49788,0.48246,1.16365,0.96082,-0.31685,0.04257,-1.50796,-0.71727,0.28783,1.30612,0.19268,-0.52593,user
3,-0.95197,0.48246,-0.61113,-0.57009,-0.31685,0.62967,-0.15487,1.88511,1.45039,0.12331,0.88113,-0.84637,user
4,-0.07854,-0.48246,0.45468,0.96082,-0.31685,-0.67825,0.32197,-0.58331,1.2861,0.58489,0.52975,1.2247,user
5,-0.95197,0.48246,-0.05921,-0.57009,-0.31685,1.02119,-2.11437,-0.17779,0.43852,-0.00665,-1.37983,-0.84637,user
6,-0.95197,0.48246,-0.05921,-0.57009,-0.31685,0.04257,0.00332,2.44904,-0.60633,-2.18109,0.88113,1.2247,user
7,-0.95197,-0.48246,-0.61113,-0.57009,-0.31685,1.23461,0.16767,0.58331,-0.30172,-1.25773,-1.37983,-0.21575,user
8,-0.07854,0.48246,0.45468,-0.57009,0.1144,-0.34799,0.00332,1.24033,-0.15487,0.41594,0.88113,0.40148,user
9,-0.07854,0.48246,1.98437,0.96082,-0.31685,-0.92104,0.00332,1.06238,2.03972,2.04506,-1.37983,-0.21575,user
10,0.49788,-0.48246,-0.61113,0.96082,-0.31685,0.04257,-0.15487,0.7233,0.13136,-0.40581,-0.21712,-0.21575,user
11,-0.07854,-0.48246,-0.61113,-0.28519,-0.31685,1.02119,-0.57545,0.14143,0.94156,-0.52745,0.88113,-0.21575,user
12,1.09449,0.48246,1.16365,0.96082,-0.31685,0.82562,-0.30033,0.29338,0.76096,1.63088,0.52975,0.40148,user
13,-0.95197,-0.48246,-0.61113,-0.57009,-0.31685,-1.55078,-0.80615,1.06238,-0.01729,2.33337,-0.71126,-0.21575,user
14,0.49788,0.48246,0.45468,0.96082,-0.31685,-1.32828,0.63779,0.88309,-0.45321,0.25953,-1.37983,-1.54858,user
15,-0.07854,-0.48246,0.45468,-0.57009,-0.31685,0.52135,-0.94779,1.06238,-0.30172,0.58489,-0.21712,0.07987,user
16,1.09449,0.48246,0.45468,0.24923,0.1144,-1.69163,-0.30033,1.06238,1.61108,-0.00665,-0.71126,0.07987,user
17,0.49788,0.48246,0.45468,-0.09765,-0.31685,-0.24649,0.16767,-0.31776,-0.30172,0.41594,0.88113,1.2247,user
18,1.09449,0.48246,0.45468,-0.28519,-1.10702,0.22393,0.80523,-0.01928,0.76096,0.41594,0.19268,0.07987,user
19,1.09449,0.48246,-1.7379,-0.09765,-0.31685,-0.58016,0.47617,-1.68062,-0.15487,0.93949,-1.37983,-0.84637,user
20,-0.07854,0.48246,0.45468,0.96082,-0.31685,-1.1943,0.32197,0.88309,-1.21213,-0.78155,-0.21712,-0.21575,user
21,-0.95197,-0.48246,-0.61113,-0.57009,-0.31685,0.41667,0.63779,-0.31776,-0.91699,-0.00665,0.19268,0.7654,user
22,-0.95197,0.48246,0.45468,0.96082,-0.31685,-0.14882,-0.94779,-1.42424,-0.45321,0.25953,0.52975,-0.84637,user
23,-0.95197,-0.48246,-0.61113,-0.57009,-0.31685,-0.58016,-0.15487,0.7233,0.94156,-0.27607,-0.71126,0.40148,user
24,0.49788,0.48246,-0.61113,-0.28519,-0.31685,1.72012,-0.94779,-1.82919,0.76096,-1.0145,0.19268,-2.07848,user
25,0.49788,0.48246,0.45468,-0.57009,-0.31685,-0.05188,-0.94779,0.29338,1.11406,-0.89891,0.88113,-0.21575,user
26,-0.95197,-0.48246,-0.61113,-0.57009,-0.31685,0.41667,0.63779,-0.01928,-0.15487,-0.27607,0.52975,1.2247,user
27,1.09449,0.48246,-0.61113,0.96082,-0.31685,-0.05188,-0.94779,1.06238,-0.60633,-0.27607,0.19268,0.07987,user
28,-0.07854,0.48246,0.45468,0.96082,-0.31685,0.62967,0.16767,0.14143,1.2861,0.41594,-0.71126,-1.18084,user
29,0.49788,-0.48246,-1.7379,0.96082,-0.31685,-0.34799,-0.57545,-0.58331,-1.21213,-0.65253,1.29221,0.7654,user
30,0.49788,0.48246,1.16365,0.96082,-0.31685,-0.92104,-0.15487,0.44585,-0.45321,1.13407,-0.71126,-0.52593,user
31,0.49788,0.48246,0.45468,0.96082,-0.31685,-1.86962,0.63779,-0.97631,-0.30172,0.58489,-0.21712,-0.52593,user
32,-0.95197,0.48246,-0.61113,-0.57009,-0.31685,-0.46725,0.80523,1.65653,0.94156,-1.38502,1.29221,0.40148,user
33,-0.95197,0.48246,1.16365,0.96082,-0.31685,0.31287,0.80523,-0.97631,0.28783,0.25953,-0.21712,0.40148,user
