,age,gender,education,country,ethnicity,nscore,escore,oscore,ascore,cscore,impuslive,ss,mushrooms
0,-0.95197,-0.48246,-0.61113,-0.57009,-0.31685,-0.67825,0.00332,0.29338,1.81866,1.30612,-0.21712,-0.52593,user
1,-0.95197,-0.48246,-0.61113,-0.57009,-0.31685,0.82562,0.96248,-0.17779,-0.30172,-0.27607,1.29221,0.7654,user
2,0.49788,0.48246,-0.05921,0.96082,-0.31685,0.62967,0.47617,0.44585,-0.60633,-0.89891,1.29221,0.40148,user
3,1.09449,-0.48246,-0.05921,0.96082,-1.10702,-0.58016,0.32197,-0.45174,-0.15487,0.25953,-0.21712,-1.18084,non-user
4,-0.07854,-0.48246,0.45468,-0.57009,-0.31685,-0.67825,-0.80615,-0.45174,-1.47955,0.12331,-0.71126,-0.21575,user
5,-0.07854,0.48246,1.98437,-0.09765,-0.31685,0.13606,-0.43999,-1.55521,-0.01729,0.93949,-1.37983,-1.54858,non-user
6,-0.95197,-0.48246,-0.61113,-0.57009,-0.31685,0.31287,0.96248,1.88511,-0.76096,-0.65253,1.29221,1.92173,user
7,-0.07854,0.48246,-0.05921,0.96082,-0.31685,-0.67825,0.96248,-1.11902,-0.15487,0.58489,0.19268,-0.21575,non-user
8,1.09449,0.48246,1.98437,-0.57009,-0.31685,0.04257,0.16767,-0.01928,-0.76096,-0.78155,0.88113,0.7654,non-user
9,-0.07854,-0.48246,1.16365,0.96082,-0.31685,-0.14882,0.32197,-1.27553,1.11406,1.81175,0.52975,1.2247,non-user
10,-0.07854,-0.48246,-0.61113,0.24923,-0.31685,-1.69163,0.16767,-0.31776,-0.45321,0.93949,-0.21712,0.07987,non-user
11,0.49788,-0.48246,0.45468,0.96082,-0.31685,0.22393,-2.11437,-2.09015,-1.34289,-1.38502,1.86203,0.7654,non-user
12,-0.95197,-0.48246,1.16365,-0.57009,-0.31685,0.41667,1.2861,-1.11902,-0.91699,-0.52745,1.86203,0.40148,non-user
13,0.49788,0.48246,1.16365,0.96082,-0.31685,0.91093,-0.57545,0.29338,-0.60633,-0.27607,0.52975,-0.21575,non-user
14,1.82213,-0.48246,-0.61113,0.96082,-0.31685,0.41667,-0.69509,-1.42424,-1.47955,-0.14277,0.52975,-0.52593,non-user
15,0.49788,-0.48246,-0.61113,0.96082,-0.31685,-1.32828,0.00332,-1.27553,-0.60633,0.12331,0.88113,0.7654,non-user
16,-0.95197,-0.48246,-1.22751,0.96082,-0.31685,-1.05308,1.74091,0.29338,0.76096,-1.0145,0.19268,1.2247,non-user
17,-0.07854,0.48246,1.16365,0.96082,-0.31685,0.62967,0.32197,-0.45174,1.45039,0.93949,-1.37983,-0.52593,non-user
18,0.49788,0.48246,0.45468,0.96082,-0.31685,1.49158,0.00332,-1.27553,-0.91699,1.13407,-0.71126,-0.52593,non-user
19,-0.95197,0.48246,0.45468,-0.57009,-0.31685,1.37297,-0.69509,-2.09015,-1.34289,-1.0145,0.19268,0.40148,non-user
20,-0.95197,-0.48246,-1.22751,0.21128,-0.31685,-0.46725,0.32197,0.14143,-0.76096,-0.65253,0.88113,1.2247,non-user
21,1.09449,-0.48246,1.16365,0.96082,-0.31685,-1.32828,1.2861,-0.17779,0.59042,1.81175,-2.55524,-1.18084,non-user
22,-0.95197,-0.48246,-0.61113,-0.57009,0.1144,-0.34799,0.00332,0.58331,-0.15487,-0.52745,0.19268,1.2247,user
23,-0.95197,-0.48246,0.45468,-0.57009,-0.31685,0.52135,-0.94779,0.14143,0.76096,-0.65253,-0.21712,1.2247,user
24,1.82213,0.48246,-0.05921,0.96082,-0.31685,-0.79151,-0.57545,0.29338,0.28783,-1.13788,1.86203,0.40148,non-user
25,-0.95197,-0.48246,-0.61113,-0.57009,-0.31685,0.91093,0.00332,1.06238,-1.21213,-1.5184,1.29221,0.40148,user
26,1.09449,-0.48246,-0.05921,0.96082,-0.31685,-0.34799,0.16767,-0.71727,-0.45321,0.12331,-1.37983,-1.54858,non-user
27,-0.07854,-0.48246,1.16365,0.96082,-0.31685,-0.34799,-0.15487,-0.71727,-1.6209,-0.65253,0.52975,0.07987,non-user
28,-0.95197,-0.48246,-0.05921,0.96082,-0.31685,2.28554,-0.94779,0.7233,-1.21213,-0.52745,-0.71126,-0.52593,non-user
29,1.09449,-0.48246,1.98437,0.96082,-0.31685,-0.14882,-0.57545,0.88309,-0.76096,-0.27607,1.86203,0.7654,user
30,-0.07854,0.48246,0.45468,-0.57009,-0.31685,2.82196,-0.43999,-0.84732,-1.772,-2.04506,0.88113,0.07987,user
31,1.09449,-0.48246,0.45468,0.96082,-0.31685,1.02119,-1.50796,-0.71727,0.28783,-0.89891,-0.21712,0.7654,user
32,-0.95197,0.48246,0.45468,0.96082,-0.31685,1.23461,-1.37639,1.24033,-1.772,0.25953,0.88113,0.07987,user
33,-0.95197,-0.48246,-1.22751,-0.57009,-0.31685,1.60383,-2.21069,1.24033,0.43852,-1.38502,0.52975,0.40148,user
34,-0.07854,-0.48246,-0.61113,0.96082,-0.31685,-0.92104,0.96248,0.88309,0.13136,-0.65253,0.19268,1.92173,non-user
35,1.09449,0.48246,0.45468,0.96082,-0.31685,-0.34799,0.00332,-1.27553,-0.15487,0.93949,-0.21712,-1.18084,non-user
36,-0.95197,0.48246,1.16365,0.96082,-0.50212,-0.58016,0.16767,-0.84732,0.59042,0.7583,-0.21712,-0.21575,non-user
37,-0.95197,-0.48246,-0.61113,-0.57009,-0.31685,-0.14882,-0.15487,1.24033,0.94156,-0.14277,0.88113,1.92173,user
38,0.49788,-0.48246,1.16365,0.96082,-0.31685,-0.34799,0.96248,2.15324,0.76096,-0.78155,1.29221,1.92173,non-user
39,0.49788,-0.48246,-0.61113,0.96082,-0.31685,0.04257,-0.15487,0.7233,0.13136,-0.40581,-0.21712,-0.21575,user
40,-0.07854,-0.48246,-0.05921,-0.57009,-0.31685,-0.05188,-2.72827,1.24033,1.45039,0.41594,-1.37983,-2.07848,user
41,1.09449,-0.48246,-0.05921,0.96082,-0.31685,1.13281,-1.37639,1.43533,-0.45321,-1.38502,1.86203,1.92173,non-user
42,-0.95197,0.48246,-0.61113,-0.57009,-0.31685,-0.24649,0.47617,0.88309,-0.01729,1.13407,-0.21712,1.2247,non-user
43,-0.95197,-0.48246,-0.61113,0.96082,-0.31685,-1.05308,1.11406,0.88309,-1.34289,-1.38502,-0.71126,1.2247,user
44,1.09449,0.48246,1.16365,0.96082,-0.31685,-2.3436,2.127,1.65653,0.76096,0.7583,0.88113,0.40148,non-user
45,-0.95197,-0.48246,-0.61113,-0.57009,-0.31685,-0.58016,-0.15487,0.88309,-0.45321,-1.25773,1.86203,0.7654,non-user
46,-0.95197,-0.48246,-0.61113,0.96082,-0.31685,0.22393,0.96248,-0.97631,-0.60633,0.58489,1.29221,0.40148,non-user
47,0.49788,-0.48246,-0.61113,0.96082,-0.31685,0.91093,-0.69509,1.24033,-0.30172,0.25953,-0.21712,0.07987,user
48,1.09449,0.48246,1.98437,0.96082,-0.31685,0.04257,1.58487,1.06238,0.59042,2.04506,-0.21712,-0.52593,non-user
49,-0.95197,0.48246,-0.61113,-0.57009,-0.31685,0.13606,-0.94779,-1.11902,0.43852,-1.13788,-0.71126,0.7654,user
50,-0.95197,-0.48246,-0.61113,-0.57009,-0.22166,-1.05308,1.93886,1.24033,0.13136,0.58489,0.52975,0.40148,non-user
51,-0.95197,-0.48246,-1.43719,-0.57009,-0.31685,1.49158,-1.92173,-0.58331,-1.772,0.58489,-0.21712,1.2247,non-user
52,-0.95197,-0.48246,-0.61113,-0.57009,-0.31685,0.82562,-0.30033,0.58331,-0.91699,-0.89891,0.88113,0.7654,non-user
53,1.82213,-0.48246,-0.05921,0.96082,-0.31685,0.62967,-1.50796,-1.55521,0.76096,-0.40581,0.19268,-0.21575,non-user
54,-0.95197,-0.48246,-0.61113,0.96082,-0.31685,-0.05188,-2.32338,-0.84732,-1.772,-0.40581,1.29221,-0.21575,non-user
55,-0.07854,0.48246,0.45468,0.96082,-0.31685,-0.14882,-0.30033,-0.84732,-0.30172,1.46191,-0.71126,-0.21575,non-user
56,-0.07854,0.48246,0.45468,0.96082,-0.31685,0.62967,0.16767,0.14143,1.2861,0.41594,-0.71126,-1.18084,non-user
57,-0.95197,-0.48246,-0.05921,-0.57009,-0.31685,0.04257,-1.6334,1.88511,-0.91699,0.12331,0.19268,0.40148,non-user
58,-0.95197,0.48246,0.45468,0.96082,-0.31685,-0.14882,-0.94779,-1.42424,-0.45321,0.25953,0.52975,-0.84637,non-user
59,-0.95197,-0.48246,-0.61113,-0.57009,-0.31685,0.04257,-0.15487,2.44904,-1.07533,-1.5184,1.86203,1.92173,user
60,-0.95197,-0.48246,-1.22751,-0.57009,-0.31685,0.82562,-0.30033,1.43533,-0.76096,-1.0145,0.88113,0.7654,user
61,1.09449,0.48246,-0.05921,0.96082,-0.31685,0.82562,-0.43999,0.7233,-0.01729,0.25953,-0.21712,-0.21575,non-user
62,-0.95197,-0.48246,-0.05921,0.96082,-0.31685,0.31287,-0.43999,-0.71727,0.94156,-0.14277,0.19268,-0.21575,non-user
63,-0.95197,-0.48246,-0.61113,-0.57009,-0.31685,1.49158,-1.23177,-1.11902,0.13136,-0.52745,-0.71126,0.40148,user
64,0.49788,-0.48246,0.45468,0.96082,-0.31685,-0.46725,1.11406,-0.31776,-0.60633,0.12331,0.19268,0.7654,user
65,-0.07854,0.48246,-0.05921,0.24923,-0.31685,-0.79151,-0.30033,-0.17779,0.28783,-0.52745,0.88113,0.07987,non-user
66,1.09449,0.48246,-0.05921,0.96082,-0.31685,-0.46725,0.96248,2.15324,-0.91699,-0.00665,1.86203,1.2247,non-user
67,1.09449,-0.48246,-0.05921,0.96082,-0.31685,-0.92104,-0.30033,-1.55521,-0.01729,0.12331,-1.37983,-1.54858,non-user
68,-0.95197,0.48246,0.45468,-0.28519,0.1144,1.02119,-1.23177,1.06238,-2.07848,-0.52745,1.29221,1.2247,non-user
69,0.49788,-0.48246,0.45468,0.96082,-0.31685,1.72012,-0.94779,0.58331,-1.772,-0.40581,0.19268,-0.84637,non-user
70,-0.07854,-0.48246,-0.05921,-0.57009,0.1144,0.41667,0.96248,-0.17779,-0.45321,0.7583,0.19268,-0.21575,user
71,1.09449,-0.48246,-2.43591,-0.57009,-0.31685,0.73545,-0.43999,0.44585,-1.07533,0.25953,0.52975,0.40148,non-user
72,0.49788,-0.48246,1.16365,0.96082,-0.31685,-0.92104,0.63779,-0.17779,-1.34289,0.25953,0.88113,0.40148,non-user
73,1.09449,0.48246,0.45468,0.96082,-0.31685,-1.32828,-0.15487,-0.84732,0.13136,0.58489,-1.37983,-1.54858,non-user
74,1.82213,0.48246,-0.61113,-0.57009,-0.31685,-0.92104,0.96248,0.44585,-0.60633,-0.40581,0.52975,-0.21575,non-user
75,-0.95197,0.48246,0.45468,0.96082,-0.31685,0.52135,-0.94779,-0.84732,-1.07533,-0.40581,-0.21712,0.40148,user
76,-0.07854,0.48246,-1.43719,0.96082,-0.31685,3.27393,-2.11437,-0.84732,-1.07533,-2.30408,0.52975,-1.18084,user
77,0.49788,0.48246,-0.05921,0.96082,-0.31685,0.62967,0.63779,1.06238,0.94156,1.30612,0.88113,0.40148,non-user
78,-0.95197,-0.48246,-0.61113,-0.57009,-0.31685,-0.67825,0.47617,-0.17779,0.13136,1.46191,-0.71126,-1.18084,user
79,-0.95197,-0.48246,-0.61113,-0.57009,-0.31685,2.127,-2.72827,-1.27553,0.28783,-1.92173,0.52975,1.2247,user
80,0.49788,0.48246,1.16365,-0.28519,-0.31685,-0.79151,0.16767,-0.17779,-0.30172,0.7583,0.19268,0.40148,non-user
81,1.09449,-0.48246,-0.61113,-0.57009,-0.31685,0.82562,-0.15487,0.44585,-0.15487,0.12331,0.19268,-0.21575,user
82,-0.95197,0.48246,0.45468,0.96082,-0.31685,0.91093,1.11406,-0.97631,0.94156,0.58489,-1.37983,-1.18084,non-user
83,-0.95197,-0.48246,-0.05921,0.24923,-0.31685,-0.92104,0.32197,1.43533,-0.30172,-0.40581,1.29221,1.92173,user
84,-0.07854,-0.48246,-1.22751,-0.28519,-0.31685,1.49158,-1.6334,1.06238,-0.76096,-1.38502,-0.71126,-1.18084,non-user
85,-0.95197,-0.48246,-1.22751,0.96082,-0.31685,-0.58016,-1.09207,-0.58331,-2.07848,2.63199,-0.21712,0.7654,user
86,1.09449,0.48246,0.45468,0.96082,-0.31685,1.02119,-0.94779,-0.58331,-0.91699,0.41594,-0.21712,-1.54858,non-user
87,-0.95197,0.48246,-0.61113,-0.57009,-0.31685,1.49158,0.16767,0.88309,-0.01729,0.58489,0.52975,0.7654,user
88,-0.07854,0.48246,-0.05921,-0.09765,-0.31685,0.41667,-0.43999,-0.58331,2.23427,-0.78155,0.52975,0.07987,user
89,0.49788,0.48246,0.45468,0.96082,-0.31685,0.41667,0.00332,-1.11902,-1.6209,-0.00665,0.19268,0.40148,non-user
90,1.09449,-0.48246,1.16365,0.96082,-0.31685,-0.34799,-0.30033,0.29338,-0.15487,0.12331,-0.21712,-0.21575,user
